Combine,population
"Peapack and Gladstone, NJ",2582
"Watchung, NJ",5801
"Alexandria, PA",346
"Birmingham, PA",90
"Broad Top City, PA",452
"Cassville, PA",143
"Coalmont, PA",106
"Dudley, PA",184
"Huntingdon, PA",7093
"Mapleton, PA",441
"Marklesburg, PA",204
"Mill Creek, PA",328
"Mount Union, PA",2447
"Orbisonia, PA",428
"Petersburg, PA",480
"Rockhill, PA",371
"Saltillo, PA",346
"Shade Gap, PA",105
"Shirleysburg, PA",150
"Three Springs, PA",444
"Altoona, PA",46320
"Bellwood, PA",1828
"Duncansville, PA",1233
"Hollidaysburg, PA",5791
"Martinsburg, PA",1958
"Newry, PA",270
"Roaring Spring, PA",2585
"Tyrone, PA",5477
"Williamsburg, PA",1254
"Tunnelhill, PA",363
"Plainfield, NJ",49808
"Rahway, NJ",27346
"Roselle, NJ",21085
"Roselle Park, NJ",13297
"Linden, NJ",40499
"New Providence, NJ",12171
"Westfield, NJ",30316
"Northern Cambria, PA",3835
"Summerhill, PA",490
"Beaverdale, PA",1035
"Ashville, PA",227
"Brownstown, PA",744
"Carrolltown, PA",853
"Cassandra, PA",147
"Chest Springs, PA",149
"Cresson, PA",1711
"Daisytown, PA",326
"Dale, PA",1234
"East Conemaugh, PA",1220
"Ebensburg, PA",3351
"Ehrenfeld, PA",228
"Ferndale, PA",1636
"Franklin, PA",323
"Gallitzin, PA",1668
"Geistown, PA",2467
"Hastings, PA",1278
"Johnstown, PA",20978
"Lilly, PA",968
"Lorain, PA",759
"Loretto, PA",1302
"Nanty Glo, PA",2734
"Patton, PA",1769
"Portage, PA",2638
"Sankertown, PA",675
"Scalp Level, PA",778
"South Fork, PA",928
