Combine,population
"Southmont, PA",2284
"Vintondale, PA",414
"Westmont, PA",5181
"Wilmore, PA",225
"Hastings, NE",24907
"Holdrege, NE",5495
"Lower Burrell, PA",11761
"Derry, PA",2688
"Donegal, PA",120
"East Vandergrift, PA",674
"Export, PA",917
"Greensburg, PA",14892
"Hunker, PA",291
"Hyde Park, PA",500
"Irwin, PA",3973
"Jeannette, PA",9654
"Latrobe, PA",8338
"Ligonier, PA",1573
"Madison, PA",397
"Manor, PA",3239
"Monessen, PA",7720
"Mount Pleasant, PA",4454
"Murrysville, PA",20079
"New Alexandria, PA",560
"New Florence, PA",689
"New Kensington, PA",13116
"New Stanton, PA",2173
"North Belle Vernon, PA",1971
"North Irwin, PA",846
"Oklahoma, PA",809
"Penn, PA",475
"Scottdale, PA",4384
"Seward, PA",495
"Smithton, PA",399
"South Greensburg, PA",2117
"Southwest Greensburg, PA",2155
"Sutersville, PA",605
"Vandergrift, PA",5205
"West Leechburg, PA",1294
"West Newton, PA",2633
"Youngstown, PA",326
"Youngwood, PA",3050
"Trafford, PA",3174
"Bally, PA",1090
"Bechtelsville, PA",942
"Bernville, PA",955
"Birdsboro, PA",5163
"Boyertown, PA",4055
"Centerport, PA",387
"Fleetwood, PA",4085
"Hamburg, PA",4289
"Kenhorst, PA",2877
"Kutztown, PA",5012
"Laureldale, PA",3911
"Leesport, PA",1918
"Lenhartsville, PA",165
"Lyons, PA",478
"Mohnton, PA",3043
"Mount Penn, PA",3106
"Reading, PA",88082
"Robesonia, PA",2061
"Saint Lawrence, PA",1809
"Shillington, PA",5273
"Shoemakersville, PA",1378
"Sinking Spring, PA",4008
"Strausstown, PA",342
"Topton, PA",2069
"Wernersville, PA",2494
"West Reading, PA",4212
"Womelsdorf, PA",2810
"Wyomissing, PA",10461
"Fox Chapel, PA",5388
"Franklin Park, PA",13470
"Aspinwall, PA",2801
"Avalon, PA",4705
"Baldwin, PA",19767
"Bell Acres, PA",1388
"Bellevue, PA",8370
"Ben Avon, PA",1781
"Ben Avon Heights, PA",371
"Bethel Park, PA",32313
"Blawnox, PA",1432
"Brackenridge, PA",3260
"Braddock, PA",2159
"Braddock Hills, PA",1880
"Bradford Woods, PA",1171
"Brentwood, PA",9643
"Bridgeville, PA",5148
"Carnegie, PA",7972
"Castle Shannon, PA",8316
"Chalfant, PA",800
"Cheswick, PA",1746
"Churchill, PA",3011
"Clairton, PA",6796
"Coraopolis, PA",5677
"Crafton, PA",5951
"Dormont, PA",8593
"Dravosburg, PA",1792
"Duquesne, PA",5565
"East McKeesport, PA",2126
"East Pittsburgh, PA",1822
"Edgewood, PA",3118
"Edgeworth, PA",1680
"Elizabeth, PA",1493
"Emsworth, PA",2449
"Etna, PA",3451
"Forest Hills, PA",6518
"Glassport, PA",4483
"Glenfield, PA",205
"Green Tree, PA",4432
"Haysville, PA",70
"Heidelberg, PA",1244
"Homestead, PA",3165
"Ingram, PA",3330
"Leetsdale, PA",1218
"Liberty, PA",2551
"Lincoln, PA",1072
"McKeesport, PA",19731
"McKees Rocks, PA",6104
"Millvale, PA",3744
"Mount Oliver, PA",3403
"Munhall, PA",11406
"North Braddock, PA",4857
"Oakdale, PA",1459
"Oakmont, PA",6303
"Glen Osborne, PA",547
"Pennsbury Village, PA",661
"Pitcairn, PA",3294
"Pittsburgh, PA",305704
"Pleasant Hills, PA",8268
"Port Vue, PA",3798
"Rankin, PA",2122
"Rosslyn Farms, PA",427
"Sewickley, PA",3827
"Sewickley Heights, PA",810
"Sewickley Hills, PA",639
"Sharpsburg, PA",3446
"Springdale, PA",3405
"Swissvale, PA",8983
"Tarentum, PA",4530
"Thornburg, PA",455
"Turtle Creek, PA",5349
"Verona, PA",2474
"Versailles, PA",1515
"Wall, PA",580
"West Elizabeth, PA",518
"West Homestead, PA",1929
"West Mifflin, PA",20313
"West View, PA",6771
"Whitaker, PA",1271
"Whitehall, PA",13944
"White Oak, PA",7862
"Wilkinsburg, PA",15930
"Wilmerding, PA",2190
"Jefferson Hills, PA",10619
"New Philadelphia, OH",17288
"Lykens, PA",1779
"Berrysburg, PA",368
"Dauphin, PA",791
"Elizabethville, PA",1510
"Gratz, PA",765
"Halifax, PA",841
"Harrisburg, PA",49528
"Highspire, PA",2399
"Hummelstown, PA",4538
"Middletown, PA",8901
"Millersburg, PA",2557
"Paxtang, PA",1561
"Penbrook, PA",3008
"Pillow, PA",298
"Royalton, PA",907
"Steelton, PA",5990
"Williamstown, PA",1387
"Blain, PA",263
"Duncannon, PA",1522
"Landisburg, PA",218
"Liverpool, PA",955
"Marysville, PA",2534
"Millerstown, PA",673
"New Buffalo, PA",129
"Newport, PA",1574
"Fairless Hills, PA",8466
"Penndel, PA",2328
"Perkasie, PA",8511
"Quakertown, PA",8979
"Richlandtown, PA",1327
"Riegelsville, PA",868
"Sellersville, PA",4249
"Silverdale, PA",871
"Trumbauersville, PA",974
"Tullytown, PA",1872
"Yardley, PA",2434
"Bristol, PA",9726
"Chalfont, PA",4009
"Doylestown, PA",8380
"Dublin, PA",2158
"Hulmeville, PA",1003
"Ivyland, PA",1041
"Langhorne, PA",1622
"Langhorne Manor, PA",1442
"Morrisville, PA",8728
"New Britain, PA",3152
"New Hope, PA",2528
"Newtown, PA",2248
"Telford, PA",4872
"Carteret, NJ",22844
"Sayreville, NJ",42704
"South Amboy, NJ",8631
"South Plainfield, NJ",23385
"South River, NJ",16008
"Spotswood, NJ",8257
"Middlesex, NJ",13635
"Milltown, NJ",6893
"New Brunswick, NJ",55181
"Perth Amboy, NJ",50814
"Steubenville, OH",18659
"Fredericktown, OH",2493
"Mount Vernon, OH",16990
"Cleona, PA",2080
"Cornwall, PA",4112
"Jonestown, PA",1905
"Lebanon, PA",25477
"Mount Gretna, PA",196
"Myerstown, PA",3062
"Palmyra, PA",7320
"Richland, PA",1519
"Beatrice, NE",12459
"McDonald, PA",2149
"Fairview, NJ",3806
"Belmar, NJ",5794
"Bradley Beach, NJ",4298
"Brielle, NJ",4774
"Red Bank, NJ",12206
"Roosevelt, NJ",882
"Rumson, NJ",7122
"Sea Bright, NJ",1412
"Sea Girt, NJ",1828
"Shrewsbury, NJ",3809
"Monmouth Beach, NJ",3279
"Oceanport, NJ",5832
"Spring Lake, NJ",2993
"Spring Lake Heights, NJ",4713
"Tinton Falls, NJ",17892
"Union Beach, NJ",6245
"West Long Branch, NJ",8097
"North Wales, PA",3229
"Pennsburg, PA",3843
"Pottstown, PA",22377
"Red Hill, PA",2383
"Rockledge, PA",2543
"Royersford, PA",4752
"Schwenksville, PA",1385
"Souderton, PA",6618
"Trappe, PA",3509
"West Conshohocken, PA",1320
"Pennington, NJ",2585
"Trenton, NJ",84913
"Alma, NE",1133
"Camp Hill, PA",7888
"Carlisle, PA",18682
"Lemoyne, PA",4553
"Mechanicsburg, PA",8981
"Mount Holly Springs, PA",2030
"Newburg, PA",336
"New Cumberland, PA",7277
"Newville, PA",1326
"Shiremanstown, PA",1569
"Wormleysburg, PA",3070
"Shippensburg, PA",5492
"Bedford, PA",2841
"Coaldale, PA",161
"Everett, PA",1834
"Hopewell, PA",230
"Hyndman, PA",910
"Manns Choice, PA",300
"New Paris, PA",186
"Pleasantville, PA",198
"Rainsburg, PA",133
"Saint Clairsville, PA",78
"Saxton, PA",736
"Schellsburg, PA",338
"Woodbury, PA",284
"Adamstown, PA",1789
"Chambersburg, PA",20268
"Greencastle, PA",3996
"Mercersburg, PA",1561
"Mont Alto, PA",1705
"Orrstown, PA",262
"Waynesboro, PA",10568
"Callimont, PA",41
"Seven Springs, PA",26
"Heath, OH",10310
"Newark, OH",47573
"Pataskala, OH",14962
"Exton, PA",4842
"Atglen, PA",1406
"Avondale, PA",1265
"Coatesville, PA",13100
"Downingtown, PA",7891
"Elverson, PA",1225
"Honey Brook, PA",1713
"Kennett Square, PA",6072
"Malvern, PA",2998
"Modena, PA",535
"Oxford, PA",5077
"Parkesburg, PA",3593
"Phoenixville, PA",16440
"South Coatesville, PA",1303
"Spring City, PA",3323
"West Chester, PA",18461
"West Grove, PA",2854
"Cross Roads, PA",512
"Dallastown, PA",4049
"Delta, PA",728
"Dillsburg, PA",2563
"Dover, PA",2007
"East Prospect, PA",905
"Fawn Grove, PA",452
"Felton, PA",506
"Franklintown, PA",489
"Glen Rock, PA",2025
"Goldsboro, PA",952
"Hallam, PA",2673
"Hanover, PA",15289
"Jacobus, PA",1841
"Jefferson, PA",733
"Lewisberry, PA",362
"Loganville, PA",1240
"Manchester, PA",2763
"Mount Wolf, PA",1393
"New Freedom, PA",4464
"New Salem, PA",724
"North York, PA",1914
"Railroad, PA",278
"Red Lion, PA",6373
"Seven Valleys, PA",517
"Shrewsbury, PA",3823
"Spring Grove, PA",2167
"Stewartstown, PA",2089
"Wellsville, PA",242
"West York, PA",4617
"Windsor, PA",1319
"Winterstown, PA",632
"Wrightsville, PA",2310
"Yoe, PA",1018
"York, PA",43718
"Yorkana, PA",229
"York Haven, PA",709
"Beverly, NJ",2577
"Bordentown, NJ",3924
"Burlington, NJ",9920
"Riverton, NJ",2779
"Palmyra, NJ",7398
"Pemberton, NJ",1409
"Wrightstown, NJ",802
"Beach Haven, NJ",1170
"Beachwood, NJ",11045
"Pine Beach, NJ",2127
"Point Pleasant, NJ",18392
"Point Pleasant Beach, NJ",4665
"Seaside Heights, NJ",2887
"Seaside Park, NJ",1579
"Ship Bottom, NJ",1156
"South Toms River, NJ",3684
"Lakehurst, NJ",2654
"Lavallette, NJ",1875
"Ocean Gate, NJ",2011
"Surf City, NJ",1205
"Tuckerton, NJ",3347
"Zanesville, OH",25487
"Valley-Hi, PA",15
"McConnellsburg, PA",1220
"Belle Vernon, PA",1093
"Brownsville, PA",2331
"Connellsville, PA",7637
"Dawson, PA",367
"Dunbar, PA",1042
"Everson, PA",793
"Berlin, NJ",7588
"Brooklawn, NJ",1955
"Camden, NJ",77344
"Chesilhurst, NJ",1634
"Pine Hill, NJ",10233
"Pine Valley, NJ",12
"Runnemede, NJ",8468
"Somerdale, NJ",5151
"Laurel Springs, NJ",1908
"Lawnside, NJ",2945
"Oaklyn, NJ",4038
"Stratford, NJ",7040
"Tavistock, NJ",5
"Woodlynne, NJ",2978
"Eaton, OH",8407
"Clayton, NJ",8179
"Pitman, NJ",9011
"Newfield, NJ",1553
"Paulsboro, NJ",6097
"Swedesboro, NJ",2584
"Wenonah, NJ",2278
"Westville, NJ",4288
"Woodbury, NJ",10174
"Woodbury Heights, NJ",3055
"Salem, NJ",5146
"Penns Grove, NJ",5147
"Woodstown, NJ",3505
"Linwood, NJ",7092
"Brigantine, NJ",9450
"Buena, NJ",4603
"Pleasantville, NJ",20249
"Port Republic, NJ",1115
"Somers Point, NJ",10795
"Northfield, NJ",8624
"Ventnor City, NJ",10650
"Highfield, MD",1112
"Concordia, KS",5395
"Holton, KS",3329
"Atchison, KS",11021
"Belpre, OH",6441
"Marietta, OH",14085
"Lebanon, OH",20033
"Fairton, NJ",1264
"Bridgeton, NJ",25349
"Shiloh, NJ",516
"Millville, NJ",28400
"Vineland, NJ",60724
"Goodland, KS",4489
"Colby, KS",5387
"Clay Center, KS",4334
"Webster, SD",1886
"Bristol, SD",341
"Butler, SD",17
"Andover, SD",91
"Grenville, SD",54
"Lily, SD",4
"Tomahawk, WI",3397
"Merrill, WI",9661
"Timber Lake, SD",443
"Isabel, SD",135
"Antigo, WI",8234
"White Lake, WI",363
"Algoma, WI",3167
"Stetsonville, WI",541
"Gilman, WI",410
"Lublin, WI",118
"Medford, WI",4326
"Rib Lake, WI",910
"Suring, WI",544
"Gillett, WI",1386
"Oconto, WI",4513
"Oconto Falls, WI",2891
"Dixfield, ME",1076
"Fryeburg, ME",1631
"Mexico, ME",1743
"Norway, ME",2748
"Oxford, ME",1263
"Rumford, ME",4218
"South Paris, ME",2267
"Revillo, SD",119
"Stockholm, SD",108
"Strandburg, SD",72
"Twin Brooks, SD",69
"Beloit, KS",3835
"Manhattan, KS",52281
"Lansing, KS",11265
"Leavenworth, KS",35251
"Baltimore, MD",620961
"Fairland, MD",23681
"Cape May, NJ",3607
"Cape May Point, NJ",291
"Sea Isle City, NJ",2114
"North Wildwood, NJ",4041
"Ocean City, NJ",11701
"Stone Harbor, NJ",866
"West Cape May, NJ",1024
"West Wildwood, NJ",603
"Wildwood, NJ",5325
"Wildwood Crest, NJ",3270
"Woodbine, NJ",2472
"Madeira, OH",8726
"Mariemont, OH",3403
"Mount Healthy, OH",6098
"Newtown, OH",2672
"North College Hill, OH",9397
"Norwood, OH",19207
"Reading, OH",10385
"Saint Bernard, OH",4368
"Sharonville, OH",13560
"Silverton, OH",4788
"Springdale, OH",11223
"Terrace Park, OH",2251
"The Village of Indian Hill, OH",5785
"Woodlawn, OH",3294
"Wyoming, OH",8428
"Junction City, KS",23353
"Topeka, KS",127473
"Wellston, OH",5663
"Winchester, VA",26203
"Bonner Springs, KS",7314
"Edwardsville, KS",4340
"Kansas City, KS",145786
"Ellis, KS",2062
"Hays, KS",20510
"Abilene, KS",6844
"Herington, KS",2526
"Russell, KS",4506
"Lawrence, KS",87643
"De Soto, KS",5720
"Edgerton, KS",1671
"Fairway, KS",3882
"Gardner, KS",19123
"Lake Quivira, KS",906
"Leawood, KS",31867
"Lenexa, KS",48190
"Roeland Park, KS",6731
"Shawnee, KS",62209
"Spring Hill, KS",5437
"Westwood, KS",1506
"Prairie Village, KS",21447
"New Boston, OH",2272
"Portsmouth, OH",20226
"Salina, KS",47707
"Council Grove, KS",2182
"Ellsworth, KS",3120
"Fairfax, VA",22565
"Saint Louis, MO",319294
"Emporia, KS",24916
"Louisburg, KS",4315
"Paola, KS",5602
"Ellinwood, KS",2131
"Great Bend, KS",15995
"Hoisington, KS",2706
"Lindsborg, KS",3458
"McPherson, KS",13155
"Florence, KS",465
"Hillsboro, KS",2993
"Lyons, KS",3739
"Sterling, KS",2328
"Burlington, KS",2674
"Fairview Beach, VA",391
"Garnett, KS",3415
"Larned, KS",4054
"Fairmount, MD",457
"Garden City, KS",26658
"Staunton, VA",23746
"Halstead, KS",2085
"Eureka, KS",2633
"Hutchinson, KS",42080
"Bryce Canyon City, UT",198
"Augusta, KS",9274
"El Dorado, KS",13021
"Kinsley, KS",1457
"Charlottesville, VA",43475
"Yates Center, KS",1417
"Humboldt, KS",1953
"Iola, KS",5704
"La Harpe, KS",578
"Fort Scott, KS",8087
"Dodge City, KS",27340
"Bel Aire, KS",6769
"Wichita, KS",382368
"Pratt, KS",6835
"Covington, VA",5961
"Lexington, VA",7042
"Greensburg, KS",777
"Haviland, KS",701
"Kingman, KS",3177
"Fredonia, KS",2482
"Chanute, KS",9119
"Frontenac, KS",3437
"Girard, KS",2789
"Pittsburg, KS",20233
"Richmond, VA",204214
"Ettrick, VA",6682
"Arkansas City, KS",12415
"Winfield, KS",12301
"Caldwell, KS",1068
"Wellington, KS",8172
"Liberal, KS",20525
"Caney, KS",2203
"Cherryvale, KS",2367
"Coffeyville, KS",10295
"Independence, KS",9483
"Anthony, KS",2269
"Harper, KS",1473
"Chetopa, KS",1125
"Parsons, KS",10500
"Bedford, VA",6222
"Baxter Springs, KS",4238
"Columbus, KS",3312
"Galena, KS",3085
"Scammon, KS",482
"Weir, KS",686
"Salem, VA",24802
"Williamsburg, VA",14068
"Fairlawn, VA",2367
"Hotevilla, AZ",
"Grand Canyon, AZ",
"Gray Mountain, AZ",
"Jacob Lake, AZ",
"Ewing, VA",439
"Martinsville, VA",13821
"Larue, AR",
"War Eagle, AR",
"Osage, AR",
"Oakland, AR",
"Peel, AR",
"Clarkridge, AR",
"Japton, AR",
"Witter, AR",
"Wesley, AR",
"Stonewall, AR",
"Newburg, AR",
"Violet Hill, AR",
"Evansville, AR",
"Spring Valley, AR",
"Summers, AR",
"Brentwood, AR",
"Rhea, AR",
"Fox, AR",
"Old Lexington, AR",
"Timbo, AR",
"Parthenon, AR",
"Harriet, AR",
"Rock Springs, AR",
"Snowball, AR",
"Witts Springs, AR",
"Tomato, AR",
"Desha, AR",
"Oark, AR",
"Lee Creek, AR",
"Uniontown, AR",
"Moreland, AR",
"Scottsville, AR",
"Wolf Bayou, AR",
"Deckerville, AR",
"Greenfield, AR",
"Weona, AR",
"Whitehall, AR",
"El Paso, AR",
"Steprock, AR",
"Floyd, AR",
"Kirkland Junction, AZ",
"Forest Hills, NC",365
"Lake Santeetlah, NC",45
"Cleveland, AR",
"Washburn, AR",
"Fair Oaks, AR",
"Tilton, AR",
"Vanndale, AR",
"Gregory, AR",
"Hillemann, AR",
"Howell, AR",
"Prairie View, AR",
"Gravelly, AR",
"Waltreak, AR",
"Briggsville, AR",
"Goleta, CA",29888
"Parks, AR",
"Mabelvale, AR",
"Marche, AR",
"Parkers, AR",
"Walls, MS",1162
"Felton, AR",
"Detonti, AR",
"Vimy Ridge, AR",
"Crystal Springs, AR",
"Potter, AR",
"Helena, AR",
"Oneida, AR",
"Poplar Grove, AR",
"Tichnor, AR",
"Social Hill, AR",
"Christmas, AZ",
"Faith, AR",
"Jefferson, AR",
"Tamo, AR",
"Umpire, AR",
"Langley, AR",
"Newhope, AR",
"Harcuvar, AZ",
"Provo, AR",
"Cornerville, AR",
"Palmyra, AR",
"Holly Springs, AR",
"Ouachita, AR",
"Pickens, AR",
"Snow Lake, AR",
"Beardsley, AZ",
"Cashion, AZ",
"Chandler Heights, AZ",
"Higley, AZ",
"De Ann, AR",
"Tokio, AR",
"Laneburg, AR",
"Collins, AR",
"Ingalls, AR",
"Cactus Flat, AZ",1518
"Calva, AZ",
"Glenbar, AZ",
"Chicot, AR",
"Dome, AZ",
"Hyder, AZ",
"La Palma, AZ",
"Lawson, AR",
"Mount Holly, AR",
"Childs, AZ",
"Cochise, AZ",
"Dos Cabezas, AZ",
"Fairbank, AZ",
"Gleeson, AZ",
"Hereford, AZ",
"Circle D-KC Estates, TX",2393
"New Orleans, LA",343829
"Taft Southwest, TX",1460
"Sun City Center, FL",19258
"La Feria North, TX",212
"Davis Dam, AZ",
"Ephraim, WI",288
"Yale, MI",1955
"Wayne, MI",17593
"Westland, MI",84094
"Woodhaven, MI",12875
"Wyandotte, MI",25883
"Rolette, ND",594
"Rolla, ND",1280
"Saint John, ND",341
"Westhope, ND",429
"Willow City, ND",163
"Souris, ND",58
"Bathgate, ND",43
"Cavalier, ND",1302
"Saint Thomas, ND",331
"Walhalla, ND",996
"Bisbee, ND",126
"Sarles, ND",28
"Wales, ND",31
"Columbus, ND",133
"Sherwood, ND",242
"Tolley, ND",47
"Berthold, ND",454
"Ryder, ND",85
"Sawyer, ND",357
"Surrey, ND",934
"Wildrose, ND",110
"Williston, ND",14716
"Tioga, ND",1230
"Balfour, ND",26
"Bantry, ND",14
"Bergen, ND",7
"Towner, ND",533
"White Earth, ND",80
"Ross, ND",97
"Stanley, ND",1458
"Balta, ND",65
"Wolford, ND",36
"Rugby, ND",2876
"Devils Lake, ND",7141
"Churchs Ferry, ND",12
"Starkweather, ND",117
"Adams, ND",127
"Conway, ND",23
"York, ND",23
"Warwick, ND",65
"Tolna, ND",166
"Thompson, ND",986
"Watford City, ND",1744
"Benedict, ND",66
"Wilton, ND",711
"Coleharbor, ND",79
"Ruso, ND",4
"Turtle Lake, ND",581
"Underwood, ND",778
"Washburn, ND",1246
"Sheyenne, ND",204
"Cathay, ND",43
"Sykeston, ND",117
"Sharon, ND",96
"Binford, ND",183
"Cooperstown, ND",984
"Clifford, ND",44
"Beulah, ND",3121
"Zap, ND",237
"Stanton, ND",366
"Fort Fairfield, ME",1825
"Fort Kent, ME",2488
"Houlton, ME",4856
"Limestone, ME",1075
"Madawaska, ME",2967
"Van Buren, ME",1937
"Beach, ND",1019
"Sentinel Butte, ND",56
"Steele, ND",715
"Tappen, ND",197
"Tuttle, ND",80
"Woodworth, ND",50
"Cleveland, ND",83
"Courtenay, ND",45
"Spiritwood Lake, ND",90
"Streeter, ND",170
"Bismarck, ND",61272
"Wing, ND",152
"Center, ND",571
"Wimbledon, ND",216
"Rogers, ND",46
"Sanborn, ND",192
"Sibley, ND",30
"Oxbow, ND",305
"Ayr, ND",17
"West Fargo, ND",25830
"Tower City, ND",253
"Belfield, ND",800
"South Heart, ND",301
"Taylor, ND",148
"Wakefield, MI",1851
"Bessemer, MI",1905
"Ironwood, MI",5387
"Strasburg, ND",409
"Berlin, ND",34
"Sheldon, ND",116
"Abercrombie, ND",263
"Barney, ND",52
"Wyndmere, ND",429
"Christine, ND",150
"Colfax, ND",121
"Walcott, ND",235
"Hurley, WI",1547
"Montreal, WI",807
"Anson, ME",752
"Bingham, ME",758
"Fairfield, ME",2638
"Hartland, ME",813
"Madison, ME",2630
"Norridgewock, ME",1438
"Pittsfield, ME",3150
"Skowhegan, ME",6297
"Dover-Foxcroft, ME",2528
"Greenville, ME",1257
"Guilford, ME",903
"Milo, ME",1847
"Manistique, MI",3097
"Selfridge, ND",160
"Solen, ND",83
"Caspian, MI",906
"Crystal Falls, MI",1469
"Gaastra, MI",347
"Iron River, MI",3029
"Dexter, ME",2158
"East Millinocket, ME",1567
"Hampden, ME",4343
"Howland, ME",1096
"Lincoln, ME",2884
"Milford, ME",2233
"Millinocket, ME",4466
"Newport, ME",1776
"Orono, ME",9474
"Eagle River, WI",1398
"Cayuga, ND",27
"Cogswell, ND",99
"Rutland, ND",163
"Ashley, ND",749
"Wishek, ND",1002
"Zeeland, ND",86
"Scranton, ND",281
"Norway, MI",2845
"Iron Mountain, MI",7624
"Kingsford, MI",5133
"Siren, WI",806
"Webster, WI",653
"Grantsburg, WI",1341
"Winter, WI",313
"Hayward, WI",2318
"Exeland, WI",196
"Couderay, WI",88
"Radisson, WI",241
"Shell Lake, WI",1347
"Spooner, WI",2682
"Birchwood, WI",442
"Minong, WI",527
"Crandon, WI",1920
"Menominee, MI",8599
"Stephenson, MI",862
"Kennan, WI",135
"Catawba, WI",110
"Park Falls, WI",2462
"Phillips, WI",1478
"Prentice, WI",660
"Bison, SD",333
"Lemmon, SD",1227
"McIntosh, SD",173
"McLaughlin, SD",663
"Morristown, SD",67
"Buffalo, SD",330
"Camp Crook, SD",63
"Pollock, SD",241
"Artas, SD",9
"Herreid, SD",438
"Wetonka, SD",8
"Eureka, SD",868
"Hillsview, SD",3
"Leola, SD",457
"Long Lake, SD",31
"Stratford, SD",72
"Verdon, SD",5
"Warner, SD",457
"Westport, SD",133
"Aberdeen, SD",26091
"Frederick, SD",199
"Groton, SD",1458
"Hecla, SD",227
"Rosholt, SD",423
"Sisseton, SD",2470
"Summit, SD",288
"White Rock, SD",3
"Wilmot, SD",492
"Veblen, SD",531
"Britton, SD",1241
"Eden, SD",89
"Lake City, SD",51
"Langford, SD",313
"Rhinelander, WI",7798
"Cheboygan, MI",4867
"Frederic, WI",1137
"Amery, WI",2902
"Balsam Lake, WI",1009
"Centuria, WI",948
"Clayton, WI",571
"Clear Lake, WI",1070
"Dresser, WI",895
"Luck, WI",1119
"Milltown, WI",917
"Osceola, WI",2568
"Saint Croix Falls, WI",2133
"Machias, ME",1274
"Woodland, ME",952
"Chisholm, ME",1380
"Farmington, ME",4288
"Wilton, ME",2198
"Onaway, MI",880
"Rogers City, MI",2827
"Turtle Lake, WI",1050
"Haugen, WI",287
"Almena, WI",677
"Barron, WI",3423
"Cameron, WI",1783
"Chetek, WI",2221
"Cumberland, WI",2170
"Dallas, WI",409
"Prairie Farm, WI",473
"Rice Lake, WI",8438
"Sheldon, WI",237
"Tony, WI",113
"Weyerhaeuser, WI",238
"Glen Flora, WI",92
"Hawkins, WI",305
"Ingram, WI",78
"Ladysmith, WI",3414
"Bruce, WI",779
"Conrath, WI",95
"Selby, SD",642
"Akaska, SD",42
"Glenham, SD",105
"Java, SD",129
"Lowry, SD",6
"Mobridge, SD",3465
"Roscoe, SD",329
"Hosmer, SD",208
"Ipswich, SD",954
"Roslyn, SD",183
"Waubay, SD",576
"Albee, SD",16
"La Bolt, SD",68
"Marvin, SD",34
"Milbank, SD",3353
"Berlin, NH",10051
"Gorham, NH",1600
"Groveton, NH",1118
"Lancaster, NH",1725
"Whitefield, NH",1142
"Stanley, WI",3608
"Bloomer, WI",3539
"Cadott, WI",1437
"Chippewa Falls, WI",13661
"Cornell, WI",1467
"New Auburn, WI",548
"Bar Harbor, ME",2552
"Bucksport, ME",2885
"Tolstoy, SD",36
"Gettysburg, SD",1162
